productid,sku_description,brand,category
prn/bombay-shaving-company-trimmer/prid/565294,Bombay Shaving Company Trimmer,Bombay Shaving Company,Personal Care
prn/bombay-shaving-company-razor/prid/432101,Bombay Shaving Company Razor,Bombay Shaving Company,Personal Care
